uid,number_of_sessions,length_of_sessions,interval_between_sessions,playCount,time_get_info
BJsIkQ5Z9cSvrfTBIl4wEz9seBO2,6,0.16073332726955415,2526.270263671875,4,2022-09-19 10:47:51
0XN2HddHwRhlsARPoH0MH3xLVWy1,7,1.329116702079773,25.760433197021486,0,2022-09-19 10:48:31
KQQ6tBGqCnUyzTttXu2dBYmZ0EF3,7,1.9631167650222779,23.85993194580078,7,2022-09-19 10:49:17
fymabuJIWLf2zaegpTyX9WDmKbl1,5,20.1568660736084,322.5574035644531,17,2022-09-19 10:49:48
yo854tS9vFYQEYjANJpZ954OOYB3,4,4.8535332679748539,0.36204999685287478,7,2022-09-19 10:50:37
4lyciyvPTjUY0eCPrq7IqAVG2sk1,21,2.556183338165283,96.68920135498047,94,2022-09-19 10:51:51
92ImwAljW6bhGZ6Q0u2XznZKjqM2,10,6.531050205230713,720.1199951171875,31,2022-09-19 10:51:59
dvgbkY9mpTUF6AyQxY33o7gHcJD2,7,9.655583381652832,1523.32177734375,19,2022-09-19 10:52:08
92ImwAljW6bhGZ6Q0u2XznZKjqM2,11,0.22313332557678224,1.0144166946411133,31,2022-09-19 10:53:13
f1eS6tezD4dNh3s84sjpnhxJ4U52,15,1.179633378982544,6394.78076171875,56,2022-09-19 10:55:32
aUfNU4OByaayU0GuZMygS3S9tMi2,3,7.236783504486084,30.444700241088868,5,2022-09-19 10:56:06
OKvUlljRBSR02vtoZhUgCjcIy5h2,2,7.320749759674072,177.67608642578126,4,2022-09-19 10:57:25
nGr1DW71caasHl0Toq5VfYvqq763,13,0.5003833174705505,0.07661666721105576,41,2022-09-19 10:57:37
wuYb1Grq9fRKyB7vRxsp2Vq3lgm2,5,8.401082992553711,3643.839111328125,8,2022-09-19 10:57:54
4lg1YHkIaIMWswQdYAviOhCeZVw1,17,0.10268332809209824,3313.60205078125,32,2022-09-19 10:59:26
muKjjBEn46S5vcFlof7xghsEZBG3,4,7.912216663360596,82.06161499023438,12,2022-09-19 11:00:21
qrdPaNcYEfgB5X3K8RVVvvFL6op1,3,399.9505310058594,1.5795167684555054,44,2022-09-19 11:00:23
iHmILdtB1DM984MiFaSXB9mVNZI3,25,0.21085000038146974,46.46298599243164,72,2022-09-19 11:00:24
S2gEoQGBWLOv3sAVsoHfetG7HDJ2,12,15.712983131408692,835.9090576171875,48,2022-09-19 11:01:14
F6VpIVQTQVfe9FvfZYKpznFNLaS2,26,3.404400110244751,784.3414916992188,33,2022-09-19 11:01:31
LvKDpNWsW8gW41pAOPDp8rsK19d2,17,12.78915023803711,102.54336547851563,108,2022-09-19 11:01:37
jZyYsEL42ocXXxGtaYX3iXgkeiY2,5,0.30560001730918887,1531.7005615234375,9,2022-09-19 11:01:46
S2gEoQGBWLOv3sAVsoHfetG7HDJ2,13,1.8380500078201295,0.2386833280324936,48,2022-09-19 11:03:17
UDfd5TpD0kNFyOqQ6sUekDcSljf2,42,44.12411880493164,288.8370666503906,484,2022-09-19 11:03:33
p9vSLbPLlfcPLPpeMh0g8VW4uo83,41,23.12175178527832,284.21673583984377,441,2022-09-19 11:03:53
UTzUL4YnuKS8YMwPtl2TFgqQEHG3,7,2.71025013923645,35868.0234375,38,2022-09-19 11:04:00
I8mjfJhDzpd3HXhgDuOvdNLbXM22,4,3.4038000106811525,1291.48046875,11,2022-09-19 11:04:15
lz01csE0L5MdWJAAiQxZXqvIeqA3,3,0.3110833466053009,7.00499963760376,0,2022-09-19 11:04:36
JszimuEhudQFPraDtOPVXRFe00r2,10,3.0416667461395265,129.8634490966797,9,2022-09-19 11:05:03
FiEP9LI0FtNS1Fy7GCvjxs5P90g2,11,0.5407499670982361,99.52183532714844,47,2022-09-19 11:05:21
rdHa6t06IbXKyiwSwixk6HRlqqE3,53,54.00203323364258,181.3441619873047,272,2022-09-19 11:05:28
