uid,number_of_sessions,length_of_sessions,interval_between_sessions,playCount,time_get_info
R8ncL6pzJjhB3aAmguPZmwzm6r82,2200,0.0071666669100523,2.169199943542481,4979,2022-09-15 09:38:37
f1C6n24niZb2mQT6O0sToG6BfxC3,127,11.167366981506348,2481.152587890625,1097,2022-09-15 09:39:22
92V5HXKOrhVeOwxNqPJFWiM9uAq2,127,15.227334022521973,139.49484252929688,2007,2022-09-15 09:40:30
V00KBJVhSaeie1xBtMhukkIEFqm2,2,11.117000579833984,1382.8934326171875,7,2022-09-15 09:41:19
kc110Csd2FfSFWdij4pK5MPf0WX2,50,6.555466651916504,1027.8453369140623,181,2022-09-15 09:42:06
WsWPTsEkdIefoNvTzyv0CmBjF052,3,1.0528333187103271,14.646233558654785,0,2022-09-15 09:43:40
2G3l729HUhdoLvDJaUi7TWiScCA2,114,11.269383430480955,278.8101196289063,640,2022-09-15 09:44:05
hbiQHi2mmBUZkEUL1JkXVLhSaVO2,15,12.035249710083008,859.8217163085938,51,2022-09-15 09:45:14
SCyidH8FNyY0WrSFxuGh8e3DpPv1,21,0.047216664999723434,1001.2744140625,27,2022-09-15 09:45:53
oLfCqcjMzATy800AI8Hg26UWXu72,9,5.423150062561035,3153.6787109375,16,2022-09-15 09:47:49
I0EEBTiguxagMP2tDlWbLtTlhxE2,206,0.00029999998514540493,2141.3759765625,2247,2022-09-15 09:49:03
WsWPTsEkdIefoNvTzyv0CmBjF052,4,1.1546000242233276,4.247099876403809,1,2022-09-15 09:49:11
YBnuTUfTDrhLx424hY0JKRQp4YF3,5,2.04628324508667,3985.360595703125,1,2022-09-15 09:49:59
PpjhX0wD91M6TIePmYfSnhxQgvJ2,72,30.331899642944336,2.6843998432159424,240,2022-09-15 09:50:57
7lBb68RRjdfr97er264iF0gwe2V2,14,5.778299808502197,602.2811889648438,107,2022-09-15 09:52:06
JeDcXpU64ySe3kpdMchMj6Z0Ar72,3,13.96071720123291,34.48053359985352,18,2022-09-15 09:52:09
zt9gjjZ9EsgGvzWbn7GHlzPHmVo1,15,4.070199966430663,14.10276699066162,28,2022-09-15 09:54:09
jF8Eb17vQRX3fJN90lyE1Zgfo4u1,76,35.88146591186524,1509.8927001953125,890,2022-09-15 09:54:32
vs9XB0TRS8SkVq0l2Iqol8tx1t12,19,2.997316837310791,739.8312377929688,78,2022-09-15 09:54:40
yftzWWLVc7VlfARGfessK2WRbFB3,27,0.08126666396856308,1385.516357421875,28,2022-09-15 09:56:00
ak8tDWF74haKaaBm93gHi5og4et2,151,269.61154174804693,766.6463012695312,764,2022-09-15 09:56:15
nWIacvInJkbmA3dlGM8uEPtIyKf1,69,33.19828414916992,764.4677124023438,561,2022-09-15 09:56:15
vs9XB0TRS8SkVq0l2Iqol8tx1t12,20,1.7377166748046875,0.5225332975387573,79,2022-09-15 09:56:56
DFDGfLy830dejP82rDKrmA3t06H3,5,3.376599788665772,89.08637237548828,28,2022-09-15 09:57:45
UDfd5TpD0kNFyOqQ6sUekDcSljf2,37,27.524566650390625,576.9679565429688,409,2022-09-15 09:58:00
QVcCjV37XNMiL1NiiWuBJSpNcaF3,41,0.02783333323895932,1757.3944091796875,84,2022-09-15 09:58:12
78sxwcSJjDMll4TDrTliBthYTnK2,22,1.8964667320251465,1473.0487060546875,45,2022-09-15 09:59:19
2G3l729HUhdoLvDJaUi7TWiScCA2,115,15.474416732788086,0.4973666369915009,644,2022-09-15 10:00:05
2G3l729HUhdoLvDJaUi7TWiScCA2,116,3.3333333703922115e-05,0.2706499993801117,644,2022-09-15 10:00:21
YyJSnWJ9GmcTgqFQlQJIx7AquPp2,5,0.4386666715145111,792.1007080078125,4,2022-09-15 10:00:53
Ip6NLyMtZAOGf8GqEKppl1i1jZM2,8,0.04388333112001419,0.0940999984741211,44,2022-09-15 10:03:09
yftzWWLVc7VlfARGfessK2WRbFB3,28,0.2016833275556565,7.0739336013793945,28,2022-09-15 10:03:15
VLnFx94TUocVIqs9sKnWU0Xugj23,197,28.956432342529297,9.340332984924316,1538,2022-09-15 10:03:15
I0EEBTiguxagMP2tDlWbLtTlhxE2,207,7.753883361816406,6.824383735656737,2249,2022-09-15 10:03:38
YBnuTUfTDrhLx424hY0JKRQp4YF3,6,1.61899995803833,13.8801326751709,1,2022-09-15 10:05:29
zt9gjjZ9EsgGvzWbn7GHlzPHmVo1,16,1.6669000387191772,10.874266624450684,29,2022-09-15 10:06:42
7lBb68RRjdfr97er264iF0gwe2V2,15,12.354049682617188,2.365950107574463,110,2022-09-15 10:07:01
5NADRxJOjUWV99dchPmrmB3J6nN2,24,16.60535049438477,901.39453125,285,2022-09-15 10:07:09
eD7jaYB30PdV6EI5vHEaUOyPuCq2,3,6.90358304977417,23.42971611022949,16,2022-09-15 10:07:09
CL8TTcnRLTWw728Mw2XJ4i4QT4e2,6,0.7953166961669922,7012.796875,3,2022-09-15 10:09:11
HAKAtwuSyJVOmjsIIfCXi1MtK8k1,19,9.37421703338623,849.7758178710938,48,2022-09-15 10:10:45
Ztaj0fzUS9VVApsOxDFq8PF6NWj1,2,1.9940499067306519,303.9214172363281,2,2022-09-15 10:11:10
b63Cue0WROYashfI2eaSkqHDF3e2,44,52.78753280639649,107.19318389892578,499,2022-09-15 10:11:49
mTmbzRVTmHUEGlRfvPgFLxatBAl2,80,6.264199733734131,76.42278289794922,158,2022-09-15 10:12:06
tcmqp82WKsgaakU9s9JYmTjirsR2,6,34.02138137817383,50.954383850097656,21,2022-09-15 10:12:59
EX0xRtEOrZShCkeWOHceww717p03,22,2.321150064468384,590.4295043945312,64,2022-09-15 10:13:25
Ztaj0fzUS9VVApsOxDFq8PF6NWj1,3,2.4942166805267334,0.4928000271320343,3,2022-09-15 10:14:09
