uid,level,time_to_play,ball_popped,ball_drop,shot,is_win,is_first_time_win,powerball,time_get_info
XtYUiyPeB0T9UsgZ9EOPYMAFqxg2,2335,1.5666667222976685,"[63.0,66.0,22.0,0.0,59.0,0.0]","[10.0,8.0,0.0,0.0,0.0,0.0]",35,true,true,0,2022-09-19 10:54:33
dvgbkY9mpTUF6AyQxY33o7gHcJD2,14,1.4833333492279053,"[2.0,26.0,46.0,0.0,91.0,21.0]","[0.0,0.0,9.0,0.0,4.0,1.0]",28,true,true,0,2022-09-19 10:54:41
d19OuyDi7GebHIZMuUP2CnyY6Tm1,29,1.350000023841858,"[64.0,25.0,0.0,34.0,52.0,48.0]","[3.0,8.0,0.0,5.0,9.0,6.0]",40,true,true,1,2022-09-19 10:55:31
T9RYiwXvgsPBrh7lzNhcXl4Yi7m2,67,1.3666666746139527,"[48.0,44.0,0.0,57.0,42.0,40.0]","[17.0,5.0,0.0,4.0,5.0,0.0]",45,true,true,0,2022-09-19 10:55:38
Vvrcne2hheTZUx7Kkwuqmd3d7Pz2,2,1.399999976158142,"[13.0,17.0,23.0,0.0,23.0,12.0]","[9.0,5.0,16.0,0.0,8.0,12.0]",17,true,true,1,2022-09-19 10:55:42
SFZUNHK2BDTFK3aVgaxLrospHnu2,914,1.4833333492279053,"[40.0,0.0,27.0,39.0,35.0,29.0]","[15.0,0.0,6.0,5.0,10.0,8.0]",35,true,true,0,2022-09-19 10:56:01
LEbHIBkd2jcR8Pa0i5bcmpDmAFF3,33257,1.4333332777023316,"[15.0,43.0,27.0,0.0,22.0,20.0]","[2.0,7.0,2.0,0.0,7.0,4.0]",32,true,true,0,2022-09-19 10:56:04
Lns4FmMvtWP8STLn8FR0wEYIPFe2,28,2.4833333492279054,"[33.0,57.0,65.0,0.0,0.0,41.0]","[3.0,15.0,13.0,0.0,0.0,5.0]",38,true,true,0,2022-09-19 10:56:16
Vvrcne2hheTZUx7Kkwuqmd3d7Pz2,3,0.36666667461395266,"[0.0,41.0,29.0,0.0,45.0,0.0]","[0.0,31.0,15.0,0.0,22.0,0.0]",13,true,true,1,2022-09-19 10:56:43
T9RYiwXvgsPBrh7lzNhcXl4Yi7m2,68,1.0166666507720948,"[0.0,0.0,72.0,0.0,68.0,68.0]","[0.0,0.0,0.0,0.0,1.0,9.0]",35,true,true,0,2022-09-19 10:57:00
ckSuAgizyYWoiRuuk6Tz2wpB3Xm2,45,1.399999976158142,"[25.0,43.0,60.0,42.0,40.0,0.0]","[15.0,9.0,0.0,11.0,21.0,0.0]",35,true,true,0,2022-09-19 10:57:30
aUfNU4OByaayU0GuZMygS3S9tMi2,3,1.350000023841858,"[0.0,42.0,27.0,0.0,46.0,0.0]","[0.0,9.0,3.0,0.0,22.0,0.0]",10,true,true,1,2022-09-19 10:57:49
XtYUiyPeB0T9UsgZ9EOPYMAFqxg2,2336,3.4666666984558107,"[39.0,0.0,54.0,40.0,24.0,21.0]","[8.0,0.0,7.0,7.0,0.0,3.0]",44,true,true,1,2022-09-19 10:58:16
OKvUlljRBSR02vtoZhUgCjcIy5h2,5,0.5333333611488342,"[0.0,0.0,26.0,25.0,33.0,15.0]","[0.0,0.0,16.0,24.0,18.0,12.0]",6,true,true,1,2022-09-19 10:58:19
T9RYiwXvgsPBrh7lzNhcXl4Yi7m2,69,1.1666666269302369,"[72.0,0.0,54.0,59.0,46.0,64.0]","[1.0,0.0,10.0,0.0,0.0,12.0]",43,true,true,0,2022-09-19 10:58:20
Vvrcne2hheTZUx7Kkwuqmd3d7Pz2,3,1.1666666269302369,"[0.0,39.0,26.0,0.0,51.0,0.0]","[0.0,16.0,5.0,0.0,16.0,0.0]",14,true,false,1,2022-09-19 10:58:45
OKvUlljRBSR02vtoZhUgCjcIy5h2,6,0.7166666388511658,"[31.0,0.0,27.0,42.0,24.0,43.0]","[8.0,0.0,1.0,5.0,5.0,13.0]",16,true,true,0,2022-09-19 10:59:54
XtYUiyPeB0T9UsgZ9EOPYMAFqxg2,2337,1.5,"[40.0,32.0,53.0,0.0,29.0,15.0]","[14.0,4.0,11.0,0.0,6.0,5.0]",32,true,true,0,2022-09-19 11:00:01
kfCABvBMQdMTHiFS0K6Pl8Sq3fh1,15,4.150000095367432,"[41.0,0.0,46.0,63.0,0.0,61.0]","[13.0,0.0,3.0,15.0,0.0,7.0]",20,true,true,22,2022-09-19 11:00:34
d19OuyDi7GebHIZMuUP2CnyY6Tm1,30,1.850000023841858,"[65.0,0.0,90.0,78.0,62.0,51.0]","[11.0,0.0,9.0,12.0,23.0,1.0]",39,true,true,5,2022-09-19 11:00:45
4yZohmOiyOazYlBnsVf8Z1DKyJn1,1,0.6833333373069763,"[45.0,0.0,43.0,0.0,0.0,0.0]","[0.0,0.0,18.0,0.0,0.0,0.0]",9,true,true,0,2022-09-19 11:02:19
d19OuyDi7GebHIZMuUP2CnyY6Tm1,31,1.5333333015441895,"[89.0,0.0,88.0,80.0,0.0,73.0]","[12.0,0.0,10.0,28.0,0.0,21.0]",42,true,true,3,2022-09-19 11:02:27
muKjjBEn46S5vcFlof7xghsEZBG3,11,1.5166666507720948,"[0.0,0.0,54.0,61.0,29.0,37.0]","[0.0,0.0,2.0,21.0,0.0,20.0]",15,true,true,1,2022-09-19 11:02:33
