uid,level,time_to_play,ball_popped,ball_drop,shot,is_win,is_first_time_win,powerball,version_name,time_get_info
qGQM4mEdIiNRS85IBc0MPa3SVEb2,739,2.216666698455811,"[52.0,45.0,39.0,0.0,35.0,27.0]","[0.0,0.0,1.0,0.0,1.0,0.0]",45,True,True,1,1.30.1,2022-09-16 23:11:28
lztsXcZyXvXEuM8mB94I5DFc1C02,3899,1.8333333730697632,"[28.0,0.0,31.0,63.0,55.0,21.0]","[6.0,0.0,7.0,5.0,4.0,1.0]",50,True,True,0,1.30.1,2022-09-16 23:11:28
S0nH2AVDJhdZd95etH52qLXWkpQ2,25,1.9333332777023318,"[53.0,37.0,27.0,27.0,47.0,0.0]","[0.0,1.0,1.0,5.0,2.0,0.0]",39,True,True,0,1.30.1,2022-09-16 23:11:28
mq1eZXBIOCaQ9VEqAgJqyDjJFhc2,6337,1.2333333492279053,"[20.0,0.0,48.0,33.0,32.0,26.0]","[4.0,0.0,0.0,2.0,0.0,3.0]",30,True,True,0,1.30.1,2022-09-16 23:11:28
thHJrqifn9Pw2zcN26pPtXC9iYW2,12,0.3166666626930237,"[0.0,0.0,50.0,0.0,61.0,42.0]","[0.0,0.0,19.0,0.0,36.0,4.0]",9,True,True,0,1.30.1,2022-09-16 23:11:28
1OeoKGDNV3RQHmcNj6Co3T1LDOd2,35,2.150000095367432,"[138.0,107.0,0.0,0.0,0.0,101.0]","[41.0,45.0,0.0,0.0,0.0,29.0]",37,True,True,0,1.30.1,2022-09-16 23:11:28
lztsXcZyXvXEuM8mB94I5DFc1C02,3900,2.049999952316284,"[41.0,29.0,24.0,64.0,27.0,34.0]","[7.0,4.0,12.0,12.0,2.0,6.0]",39,True,True,1,1.30.1,2022-09-16 23:11:28
9ap4AIETbsaOPb4HprL3Z9CjL2C2,5,0.5666666626930237,"[0.0,0.0,27.0,26.0,32.0,17.0]","[0.0,0.0,17.0,25.0,31.0,2.0]",9,True,True,1,1.30.1,2022-09-16 23:11:28
oSN94OxjljbNksZUXVCOsQgOKKy2,2,0.3333333432674408,"[10.0,16.0,20.0,0.0,16.0,14.0]","[6.0,10.0,15.0,0.0,16.0,12.0]",3,True,True,1,1.30.1,2022-09-16 23:11:28
cJkyvRHt78RPxHrn0l3ISk2rWsv1,501,3.3499999046325684,"[22.0,0.0,50.0,44.0,40.0,33.0]","[8.0,0.0,11.0,14.0,6.0,8.0]",33,True,True,4,1.30.1,2022-09-16 23:11:28
qGQM4mEdIiNRS85IBc0MPa3SVEb2,740,2.933333396911621,"[72.0,84.0,59.0,32.0,77.0,0.0]","[4.0,7.0,0.0,4.0,18.0,0.0]",53,True,True,2,1.30.1,2022-09-16 23:11:28
AgTiaAoX1HWEdIbDb3ymBIFTks03,102,2.683333396911621,"[0.0,104.0,89.0,0.0,105.0,98.0]","[0.0,35.0,12.0,0.0,26.0,21.0]",56,True,True,0,1.30.1,2022-09-16 23:11:28
oSN94OxjljbNksZUXVCOsQgOKKy2,3,0.3666666746139527,"[0.0,37.0,25.0,0.0,46.0,0.0]","[0.0,28.0,16.0,0.0,14.0,0.0]",5,True,True,1,1.30.1,2022-09-16 23:11:28
zbBicGDfytd5wuXAKkrAwQsMgX62,53834,0.5166666507720947,"[7.0,0.0,5.0,10.0,5.0,9.0]","[0.0,0.0,0.0,0.0,1.0,0.0]",9,False,False,0,1.30.1,2022-09-16 23:11:28
zbBicGDfytd5wuXAKkrAwQsMgX62,53834,0.5166666507720947,"[7.0,0.0,5.0,10.0,5.0,9.0]","[0.0,0.0,0.0,0.0,1.0,0.0]",9,False,False,0,1.30.1,2022-09-16 23:11:28
zbBicGDfytd5wuXAKkrAwQsMgX62,53834,0.5166666507720947,"[7.0,0.0,5.0,10.0,5.0,9.0]","[0.0,0.0,0.0,0.0,1.0,0.0]",9,False,False,0,1.30.1,2022-09-16 23:11:28
zbBicGDfytd5wuXAKkrAwQsMgX62,53834,0.5166666507720947,"[7.0,0.0,5.0,10.0,5.0,9.0]","[0.0,0.0,0.0,0.0,1.0,0.0]",9,False,False,0,1.30.1,2022-09-16 23:11:28
zbBicGDfytd5wuXAKkrAwQsMgX62,53834,0.5166666507720947,"[7.0,0.0,5.0,10.0,5.0,9.0]","[0.0,0.0,0.0,0.0,1.0,0.0]",9,False,False,0,1.30.1,2022-09-16 23:11:28
zbBicGDfytd5wuXAKkrAwQsMgX62,53834,0.5166666507720947,"[7.0,0.0,5.0,10.0,5.0,9.0]","[0.0,0.0,0.0,0.0,1.0,0.0]",9,False,False,0,1.30.1,2022-09-16 23:11:28
oSN94OxjljbNksZUXVCOsQgOKKy2,4,0.3333333432674408,"[64.0,0.0,0.0,0.0,89.0,0.0]","[37.0,0.0,0.0,0.0,12.0,0.0]",7,True,True,0,1.30.1,2022-09-16 23:11:28
thHJrqifn9Pw2zcN26pPtXC9iYW2,13,2.799999952316284,"[30.0,0.0,30.0,103.0,36.0,0.0]","[21.0,0.0,2.0,4.0,14.0,0.0]",45,True,True,3,1.30.1,2022-09-16 23:11:28
qGQM4mEdIiNRS85IBc0MPa3SVEb2,741,1.5166666507720947,"[36.0,0.0,34.0,36.0,34.0,42.0]","[8.0,0.0,4.0,7.0,11.0,10.0]",53,True,True,0,1.30.1,2022-09-16 23:11:28
cJkyvRHt78RPxHrn0l3ISk2rWsv1,502,1.9833333492279053,"[22.0,30.0,38.0,0.0,21.0,20.0]","[14.0,7.0,7.0,0.0,12.0,10.0]",25,True,True,1,1.30.1,2022-09-16 23:11:28
oSN94OxjljbNksZUXVCOsQgOKKy2,5,0.699999988079071,"[0.0,0.0,25.0,28.0,33.0,16.0]","[0.0,0.0,21.0,19.0,17.0,8.0]",9,True,True,1,1.30.1,2022-09-16 23:11:28
1OeoKGDNV3RQHmcNj6Co3T1LDOd2,36,3.049999952316284,"[0.0,97.0,39.0,28.0,29.0,0.0]","[0.0,19.0,5.0,16.0,3.0,0.0]",35,True,True,1,1.30.1,2022-09-16 23:11:28
ufTi3XTIRwNjoZXaqLxS8xpvPLx1,2,102.9000015258789,"[11.0,15.0,19.0,0.0,16.0,12.0]","[6.0,10.0,19.0,0.0,16.0,12.0]",2,True,True,1,1.30.1,2022-09-16 23:11:28
lztsXcZyXvXEuM8mB94I5DFc1C02,3902,2.0166666507720947,"[18.0,27.0,43.0,0.0,22.0,24.0]","[5.0,3.0,3.0,0.0,4.0,2.0]",37,True,True,1,1.30.1,2022-09-16 23:11:28
thHJrqifn9Pw2zcN26pPtXC9iYW2,14,3.0166666507720947,"[0.0,29.0,44.0,0.0,98.0,20.0]","[0.0,2.0,11.0,0.0,7.0,4.0]",31,True,True,2,1.30.1,2022-09-16 23:11:28
aILISnlQIMWQAwpExfpTawTog2z2,25,4.5,"[53.0,37.0,25.0,22.0,46.0,0.0]","[0.0,1.0,11.0,5.0,1.0,0.0]",31,True,True,0,1.30.1,2022-09-16 23:11:28
lztsXcZyXvXEuM8mB94I5DFc1C02,3903,1.0,"[19.0,0.0,23.0,18.0,24.0,19.0]","[2.0,0.0,2.0,11.0,5.0,6.0]",23,True,True,0,1.30.1,2022-09-16 23:11:28
qGQM4mEdIiNRS85IBc0MPa3SVEb2,742,3.299999952316284,"[47.0,26.0,66.0,0.0,23.0,37.0]","[1.0,1.0,7.0,0.0,3.0,1.0]",53,True,True,0,1.30.1,2022-09-16 23:11:28
d76vhIooSJVazXU3leXnM4tBGc63,136,1.5333333015441897,"[42.0,26.0,52.0,17.0,18.0,41.0]","[11.0,0.0,7.0,11.0,0.0,14.0]",33,True,True,0,1.30.1,2022-09-16 23:11:28
LXn7pmqoqjUd2VoeGEwzQqm7Xvi1,16,1.1833332777023315,"[38.0,26.0,15.0,45.0,0.0,43.0]","[6.0,7.0,0.0,3.0,0.0,4.0]",27,True,True,0,1.30.1,2022-09-16 23:11:28
S0nH2AVDJhdZd95etH52qLXWkpQ2,26,1.350000023841858,"[16.0,0.0,42.0,21.0,62.0,46.0]","[0.0,0.0,16.0,0.0,8.0,17.0]",34,True,True,0,1.30.1,2022-09-16 23:11:28
S0nH2AVDJhdZd95etH52qLXWkpQ2,27,1.0499999523162842,"[43.0,0.0,33.0,43.0,0.0,75.0]","[11.0,0.0,13.0,0.0,0.0,8.0]",31,True,True,0,1.30.1,2022-09-16 23:11:28
qGQM4mEdIiNRS85IBc0MPa3SVEb2,743,2.616666555404663,"[36.0,0.0,26.0,28.0,28.0,26.0]","[2.0,0.0,8.0,6.0,2.0,2.0]",38,True,True,3,1.30.1,2022-09-16 23:11:28
thHJrqifn9Pw2zcN26pPtXC9iYW2,15,2.8499999046325684,"[44.0,0.0,50.0,64.0,0.0,74.0]","[10.0,0.0,0.0,15.0,0.0,11.0]",37,True,True,11,1.30.1,2022-09-16 23:11:28
S0nH2AVDJhdZd95etH52qLXWkpQ2,30,1.7166666984558103,"[71.0,0.0,96.0,75.0,65.0,51.0]","[11.0,0.0,7.0,10.0,8.0,1.0]",46,True,True,0,1.30.1,2022-09-16 23:11:28
S0nH2AVDJhdZd95etH52qLXWkpQ2,31,1.5499999523162842,"[86.0,0.0,90.0,80.0,0.0,73.0]","[24.0,0.0,10.0,25.0,0.0,26.0]",43,True,True,0,1.30.1,2022-09-16 23:11:28
S0nH2AVDJhdZd95etH52qLXWkpQ2,29,1.3166667222976685,"[62.0,27.0,0.0,34.0,48.0,45.0]","[1.0,2.0,0.0,6.0,10.0,12.0]",33,True,True,0,1.30.1,2022-09-16 23:11:28
jjDDZB9XDze0BfxSeycoTbv8vyB2,1054,2.5166666507720947,"[0.0,62.0,0.0,64.0,55.0,61.0]","[0.0,9.0,0.0,8.0,3.0,6.0]",49,True,True,0,1.30.1,2022-09-16 23:11:28
1PTBiHHDPuh0sh77AXS3apiiwa22,25,2.4000000953674316,"[53.0,36.0,25.0,24.0,45.0,0.0]","[5.0,7.0,0.0,9.0,10.0,0.0]",31,True,True,3,1.30.1,2022-09-16 23:11:28
