uid,level,time_to_play,ball_popped,ball_drop,shot,is_win,is_first_time_win,powerball,time_get_info
LevU08ckwRePj6H9NoYY57jFCku1,6580,3.2666666507720949,"[75.0,34.0,0.0,98.0,62.0,67.0]","[15.0,14.0,0.0,40.0,24.0,28.0]",44,true,true,0,2022-09-19 11:51:32
RZ5fSgS054cCLfTt28AX4yNiahw2,69,1.7666666507720948,"[75.0,0.0,52.0,59.0,47.0,66.0]","[2.0,0.0,5.0,6.0,0.0,12.0]",45,true,true,0,2022-09-19 11:56:29
LevU08ckwRePj6H9NoYY57jFCku1,6581,1.3166667222976685,"[30.0,35.0,26.0,0.0,17.0,16.0]","[2.0,3.0,6.0,0.0,1.0,13.0]",22,true,true,1,2022-09-19 11:53:03
RZ5fSgS054cCLfTt28AX4yNiahw2,75,2.8499999046325685,"[57.0,0.0,54.0,40.0,0.0,77.0]","[19.0,0.0,13.0,13.0,0.0,33.0]",47,true,true,0,2022-09-20 20:25:09
LevU08ckwRePj6H9NoYY57jFCku1,6589,1.2833333015441895,"[38.0,0.0,33.0,29.0,31.0,26.0]","[7.0,0.0,10.0,5.0,3.0,0.0]",32,true,true,0,2022-09-19 12:09:27
RZ5fSgS054cCLfTt28AX4yNiahw2,80,4.766666889190674,"[59.0,0.0,73.0,67.0,71.0,66.0]","[2.0,0.0,7.0,2.0,8.0,4.0]",40,true,true,2,2022-09-20 20:42:36
