,uid,time_to_play,active_time,high_level,predictions,days_to_churn,warning
336,3o6rIiI6PiZZAHmZ1hUQLdMoUo53,16.74,240.67,1163.0,True,8 days 08:49:01.707186,this player churn level is 26.05
350,3zrRYyfLZFajpmajSugaBE2Z5Sl1,0.0,8939.73,0.0,True,5 days 21:26:25.707186,player does not play!
356,44jHtXUNM6MQO6asl3Q4zr9aSrN2,0.0,6320.63,0.0,True,4 days 22:24:50.707186,player does not play!
359,46oLRP3TaNgkN9F8TYOdVSBLgGZ2,0.0,8706.24,0.0,True,7 days 11:17:02.707186,player does not play!
365,4B7iIkeP9uUhxxtdI8LSlqlQTSz1,0.0,8622.15,0.0,True,5 days 01:32:11.707186,player does not play!
379,4Lmth1tERfOkwtNJcVbBRdSe4py2,0.38,4215.47,2.0,True,8 days 06:23:39.707186,"this player play time is only 0.07% of average, skill is 58.97116742092912% of average, churn level is 440604.72"
387,4U9w4ntPQwhXalFfx7tWbgfUdFa2,0.0,9943.14,0.0,True,4 days 20:41:39.707186,player does not play!
399,4dycIs33cBVJwmIlgAVdoQ5YkIy1,89.18,2557.64,1000.0,True,5 days 10:04:49.708185,"this player play time is only 25.21% of average, churn level is 107.96"
413,4r6bAqbwHUSBrWbFHm0BSLZgrCZ2,0.0,7037.37,0.0,True,5 days 21:11:04.708185,player does not play!
421,4ux5xma1fEUVuCNrqASndVoMHr93,0.0,4292.45,0.0,True,7 days 02:56:19.709152,player does not play!
436,51yBYCVOytWoDrS1utRQaTg74zp2,0.0,5949.03,0.0,True,4 days 22:33:46.709152,player does not play!
449,57rKLIG00zM9ekomi4M5zqDjkkY2,1.2,5939.610000000001,813.0,True,4 days 23:16:28.709152,"this player play time is only 0.15% of average, churn level is 5217.97"
452,58KOLFCTpZXQyJm8zYIPjsDKRF72,0.0,8666.28,0.0,True,5 days 08:08:48.709152,player does not play!
462,5F4umS2LOvWVew8jg7RxTNHb3X23,0.0,1513.26,0.0,True,5 days 13:53:16.710188,player does not play!
474,5NMA0uCHz7VBdzS880LTFJm3qRO2,8.82,9036.11,9.0,True,4 days 17:45:26.710188,"this player play time is only 0.71% of average, skill is 34.46687437478452% of average, churn level is 2752.88"
478,5PVViXfPzTUO6UwAxS5M5h5YuFh2,0.0,6999.38,0.0,True,4 days 22:18:30.710188,player does not play!
484,5TU5VDfSyrhSopTL3PlS2AQc71w2,5.07,5335.43,25.0,True,4 days 20:36:30.710188,"this player play time is only 0.69% of average, churn level is 310.09"
507,5gbguCdNMng7gmteoiqMBgbnHfu1,28.76,4484.67,29.0,True,5 days 06:23:33.711176,"this player play time is only 4.64% of average, churn level is 313.89"
514,5pWJCumB9ehof0TPZ3uhEenLkK32,0.0,6986.24,0.0,True,7 days 04:28:19.711176,player does not play!
521,5uhh5N5KXrZNRykxRMjehSL9n4k1,8.35,7210.2,32.0,True,5 days 00:48:06.711176,"this player play time is only 0.84% of average, skill is 175.86069307227982% of average, churn level is 2017.06"
525,5yW8tEsJnuRGcceCc63YLl6BsBl1,5.48,5749.2,12202.0,True,8 days 03:45:59.711176,"this player play time is only 0.69% of average, churn level is 4377.63"
526,60BkKE8C3bemUglAmNZ5Hn7MsfK2,0.0,4191.11,0.0,True,7 days 02:10:48.711176,player does not play!
530,61ZTl9RXp5NcIL0YXAI0dGKhSpj1,0.0,7864.97,0.0,True,6 days 05:49:24.711176,player does not play!
532,64MwODd1GbWnAyD0hGPxgnUeYLm1,0.0,4559.37,0.0,True,6 days 01:51:34.711176,player does not play!
545,6CvMEktbp2VqU87FTbcWbKbtnrR2,5.13,7202.12,9.0,True,6 days 03:20:02.711176,"this player play time is only 0.51% of average, churn level is 8831.33"
